EQUIPO_LOCAL;EQUIPO_VISITANTE
Barcelona;Córdoba
Barcelona;Dptivo. Coruña
Barcelona;Éibar
Barcelona;Elche
Barcelona;Espanyol
Barcelona;Extremadura
Barcelona;Getafe
Barcelona;Gimn. Tarragon
Barcelona;Granada
Barcelona;Hércules
Barcelona;Las Palmas
Barcelona;Levante
Barcelona;Lleida
Barcelona;Logroñés
Barcelona;Málaga
Barcelona;Málaga (C.D.)
Barcelona;Mallorca
Barcelona;Mérida
Barcelona;Murcia
Barcelona;Numancia
Barcelona;Osasuna
Barcelona;Oviedo
Barcelona;Rac. Santander
Barcelona;Rayo Vallecano
Barcelona;Real Madrid
Barcelona;Real Sociedad
Barcelona;Rec. Huelva
Barcelona;Sabadell
Barcelona;Salamanca
Barcelona;Sevilla
Barcelona;Sporting Gijón
Barcelona;Tenerife
Barcelona;Valencia
Barcelona;Valladolid
Barcelona;Villarreal
Barcelona;Xerez
Barcelona;Zaragoza
Betis;Alavés
Betis;Albacete
Betis;Alcorcón
Betis;Algeciras
Betis;Almería
Betis;Almería (A.D.)
Betis;At. Madrid
Betis;At. Madrid B
Betis;Ath. Bilbao
Betis;Ath. Bilbao B
Betis;Avilés
Betis;Badajoz
Betis;Barakaldo
Betis;Barcelona
Betis;Barcelona B
Betis;Burgos
Betis;Burgos (Real)
Betis;Cádiz
Betis;Cartagena
Betis;Castellón
Betis;Celta
Betis;Compostela
Betis;Córdoba
Betis;Dptivo. Coruña
Betis;Éibar
Betis;Elche
Betis;Espanyol
Betis;Extremadura
Betis;Ferrol
Betis;Figueres
Betis;Getafe
Betis;Gimn. Tarragon
Betis;Girona
Betis;Granada
Betis;Hércules
Betis;Huesca
Betis;Jaén
Betis;Las Palmas
Betis;Leganés
Betis;Levante
Betis;Linares
Betis;Llagostera
Betis;Lleida
Betis;Logroñés
Betis;Lugo
Betis;Málaga
Betis;Málaga (C.D.)
Betis;Mallorca
Betis;Marbella
Betis;Mérida
Betis;Mirandés
Betis;Murcia
Betis;Numancia
Betis;Osasuna
Betis;Ourense
Betis;Oviedo
Betis;Palamós
Betis;Ponferradina
Betis;Rac. Santander
Betis;Rayo Vallecano
Betis;Real Madrid
Betis;Real Madrid B
Betis;Real Sociedad
Betis;Real Unión
Betis;Rec. Huelva
Betis;Sabadell
Betis;Salamanca
Betis;Sant Andreu
Betis;Sestao
Betis;Sevilla
Betis;Sporting Gijón
Betis;Tenerife
Betis;Terrassa
Betis;Toledo
Betis;Univ.Las Palma
Betis;Valencia
Betis;Valladolid
Betis;Villarreal
Betis;Villarreal B
Betis;Xerez
Betis;Zaragoza
Burgos (Real);Albacete
Burgos (Real);Alzira
Burgos (Real);At. Madrid
Burgos (Real);At. Madrid B
Burgos (Real);Ath. Bilbao
Burgos (Real);Ath. Bilbao B
Burgos (Real);Badajoz
Burgos (Real);Barcelona
Burgos (Real);Barcelona B
Burgos (Real);Betis
Burgos (Real);Cádiz
