idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
29074;Murcia;Castellón;1;1;Enrique Roca de Murcia;
29075;Numancia;Albacete;1;1;Nuevo Los Pajaritos;
29076;Real Sociedad;Rayo Vallecano;1;0;Reale Arena;
29077;Salamanca;Rec. Huelva;1;2;Pistas del Helmántico;
29078;Albacete;Salamanca;2;1;Carlos Belmonte;
29079;Betis;Murcia;1;1;Benito Villamarín;
29080;Cartagena;Numancia;2;1;Cartagonova;
29081;Castellón;Gimn. Tarragon;0;0;Nuevo Castalia;
29082;Celta;Girona;2;1;Balaídos;
29083;Cádiz;Elche;2;1;Ramón de Carranza;
29084;Hércules;Córdoba;4;0;José Rico Pérez;
29085;Rayo Vallecano;Huesca;4;1;Campo de Fútbol de Vallecas;
29086;Real Unión;Real Sociedad;0;0;Stadium Gal;
29087;Rec. Huelva;Levante;0;1;Nuevo Colombino;
29088;Villarreal B;Las Palmas;2;5;;
29089;Córdoba;Rec. Huelva;1;1;Nuevo Arcángel;
29090;Elche;Celta;1;0;Martínez Valero;
29091;Gimn. Tarragon;Betis;0;1;Nou Estadi;
29092;Girona;Hércules;1;1;Municipal de Montilivi;
29093;Huesca;Real Unión;2;3;El Alcoraz;
29094;Las Palmas;Cádiz;1;1;Gran Canaria;
29095;Levante;Albacete;1;1;Ciudad de Valencia;
29096;Murcia;Villarreal B;2;2;Enrique Roca de Murcia;
29097;Numancia;Rayo Vallecano;1;1;Nuevo Los Pajaritos;
29098;Real Sociedad;Castellón;0;0;Reale Arena;
29099;Salamanca;Cartagena;1;0;Pistas del Helmántico;
29100;Albacete;Córdoba;3;0;Carlos Belmonte;
29101;Betis;Real Sociedad;1;0;Benito Villamarín;
29102;Cartagena;Levante;3;5;Cartagonova;
29103;Castellón;Huesca;1;2;Nuevo Castalia;
29104;Celta;Las Palmas;1;0;Balaídos;
29105;Cádiz;Murcia;1;0;Ramón de Carranza;
29106;Elche;Girona;4;0;Martínez Valero;
29107;Rayo Vallecano;Salamanca;0;0;Campo de Fútbol de Vallecas;
29108;Real Unión;Numancia;4;3;Stadium Gal;
29109;Rec. Huelva;Hércules;0;0;Nuevo Colombino;
29110;Villarreal B;Gimn. Tarragon;1;0;;
29111;Córdoba;Cartagena;1;2;Nuevo Arcángel;
29112;Gimn. Tarragon;Cádiz;0;2;Nou Estadi;
29113;Girona;Rec. Huelva;0;0;Municipal de Montilivi;
29114;Huesca;Betis;0;1;El Alcoraz;
29115;Hércules;Albacete;5;1;José Rico Pérez;
29116;Las Palmas;Elche;4;1;Gran Canaria;
29117;Levante;Rayo Vallecano;2;1;Ciudad de Valencia;
29118;Murcia;Celta;4;1;Enrique Roca de Murcia;
29119;Numancia;Castellón;2;1;Nuevo Los Pajaritos;
29120;Real Sociedad;Villarreal B;2;1;Reale Arena;
29121;Salamanca;Real Unión;3;0;Pistas del Helmántico;
29122;Albacete;Rec. Huelva;1;3;Carlos Belmonte;
29123;Betis;Numancia;2;0;Benito Villamarín;
29124;Cartagena;Hércules;0;0;Cartagonova;
29125;Castellón;Salamanca;1;2;Nuevo Castalia;
29126;Celta;Gimn. Tarragon;3;1;Balaídos;
29127;Cádiz;Real Sociedad;1;3;Ramón de Carranza;
29128;Elche;Murcia;1;2;Martínez Valero;
29129;Las Palmas;Girona;0;1;Gran Canaria;
29130;Rayo Vallecano;Córdoba;3;2;Campo de Fútbol de Vallecas;
29131;Real Unión;Levante;2;1;Stadium Gal;
29132;Villarreal B;Huesca;1;1;;
29133;Albacete;Girona;3;0;Carlos Belmonte;
29134;Córdoba;Real Unión;4;0;Nuevo Arcángel;
29135;Gimn. Tarragon;Elche;3;1;Nou Estadi;
29136;Huesca;Cádiz;2;1;El Alcoraz;
29137;Hércules;Rayo Vallecano;2;1;José Rico Pérez;
29138;Levante;Castellón;3;1;Ciudad de Valencia;
29139;Murcia;Las Palmas;1;0;Enrique Roca de Murcia;
29140;Numancia;Villarreal B;1;0;Nuevo Los Pajaritos;
29141;Real Sociedad;Celta;2;0;Reale Arena;
29142;Rec. Huelva;Cartagena;1;0;Nuevo Colombino;
29143;Salamanca;Betis;1;1;Pistas del Helmántico;
29144;Betis;Levante;4;0;Benito Villamarín;
29145;Cartagena;Albacete;0;4;Cartagonova;
29146;Castellón;Córdoba;0;1;Nuevo Castalia;
29147;Celta;Huesca;0;1;Balaídos;
29148;Cádiz;Numancia;4;2;Ramón de Carranza;
29149;Elche;Real Sociedad;4;1;Martínez Valero;
29150;Girona;Murcia;1;1;Municipal de Montilivi;
29151;Las Palmas;Gimn. Tarragon;1;0;Gran Canaria;
29152;Rayo Vallecano;Rec. Huelva;4;0;Campo de Fútbol de Vallecas;
29153;Real Unión;Hércules;0;2;Stadium Gal;
29154;Villarreal B;Salamanca;1;2;;
29155;At. Madrid;Sporting Gijón;4;0;Wanda Metropolitano;
29156;Dptivo. Coruña;Zaragoza;0;0;Abanca-Riazor;
29157;Espanyol;Getafe;3;1;RCDE Stadium;
29158;Hércules;Ath. Bilbao;0;1;José Rico Pérez;
29159;Levante;Sevilla;1;4;Ciudad de Valencia;
29160;Mallorca;Real Madrid;0;0;Son Moix;
29161;Málaga;Valencia;1;3;La Rosaleda;
29162;Osasuna;Almería;0;0;El Sadar;
29163;Rac. Santander;Barcelona;0;3;El Sardinero;
29164;Real Sociedad;Villarreal;1;0;Reale Arena;
29165;Almería;Real Sociedad;2;2;Juegos Mediterráneos;
29166;Ath. Bilbao;At. Madrid;1;2;San Mamés;
29167;Barcelona;Hércules;0;2;Camp Nou;
29168;Getafe;Levante;4;1;Coliseum Alfonso Pérez;
29169;Real Madrid;Osasuna;1;0;Santiago Bernabéu;
29170;Sevilla;Dptivo. Coruña;0;0;Ramón Sánchez-Pizjuán;
29171;Sporting Gijón;Mallorca;2;0;El Requexón;
29172;Valencia;Rac. Santander;1;0;Mestalla;
29173;Villarreal;Espanyol;4;0;El Madrigal;
29174;Zaragoza;Málaga;3;5;La Romareda;
29175;At. Madrid;Barcelona;1;2;Wanda Metropolitano;
29176;Dptivo. Coruña;Getafe;2;2;Abanca-Riazor;
29177;Espanyol;Almería;1;0;RCDE Stadium;
29178;Hércules;Valencia;1;2;José Rico Pérez;
29179;Levante;Villarreal;1;2;Ciudad de Valencia;
29180;Mallorca;Osasuna;2;0;Son Moix;
29181;Málaga;Sevilla;1;2;La Rosaleda;
29182;Rac. Santander;Zaragoza;2;0;El Sardinero;
29183;Real Sociedad;Real Madrid;1;2;Reale Arena;
29184;Sporting Gijón;Ath. Bilbao;2;2;El Requexón;
29185;Almería;Levante;0;1;Juegos Mediterráneos;
29186;Ath. Bilbao;Mallorca;3;0;San Mamés;
29187;Barcelona;Sporting Gijón;1;0;Camp Nou;
29188;Getafe;Málaga;0;2;Coliseum Alfonso Pérez;
29189;Osasuna;Real Sociedad;3;1;El Sadar;
29190;Real Madrid;Espanyol;3;0;Santiago Bernabéu;
29191;Sevilla;Rac. Santander;1;1;Ramón Sánchez-Pizjuán;
29192;Valencia;At. Madrid;1;1;Mestalla;
29193;Villarreal;Dptivo. Coruña;1;0;El Madrigal;
29194;Zaragoza;Hércules;0;0;La Romareda;
29195;At. Madrid;Zaragoza;1;0;Wanda Metropolitano;
29196;Ath. Bilbao;Barcelona;1;3;San Mamés;
29197;Dptivo. Coruña;Almería;0;2;Abanca-Riazor;
29198;Espanyol;Osasuna;1;0;RCDE Stadium;
29199;Hércules;Sevilla;2;0;José Rico Pérez;
29200;Levante;Real Madrid;0;0;Ciudad de Valencia;
29201;Mallorca;Real Sociedad;2;0;Son Moix;
29202;Málaga;Villarreal;2;3;La Rosaleda;
29203;Rac. Santander;Getafe;0;1;El Sardinero;
29204;Sporting Gijón;Valencia;0;2;El Requexón;
29205;Almería;Málaga;1;1;Juegos Mediterráneos;
29206;Barcelona;Mallorca;1;1;Camp Nou;
29207;Getafe;Hércules;3;0;Coliseum Alfonso Pérez;
29208;Osasuna;Levante;1;1;El Sadar;
29209;Real Madrid;Dptivo. Coruña;6;1;Santiago Bernabéu;
29210;Real Sociedad;Espanyol;1;0;Reale Arena;
29211;Sevilla;At. Madrid;3;1;Ramón Sánchez-Pizjuán;
29212;Valencia;Ath. Bilbao;2;1;Mestalla;
29213;Villarreal;Rac. Santander;2;0;El Madrigal;
29214;Zaragoza;Sporting Gijón;2;2;La Romareda;
29215;At. Madrid;Getafe;2;0;Wanda Metropolitano;
29216;Ath. Bilbao;Zaragoza;2;1;San Mamés;
29217;Barcelona;Valencia;2;1;Camp Nou;
29218;Dptivo. Coruña;Osasuna;0;0;Abanca-Riazor;
29219;Hércules;Villarreal;2;2;José Rico Pérez;
29220;Levante;Real Sociedad;2;1;Ciudad de Valencia;
29221;Mallorca;Espanyol;0;1;Son Moix;
29222;Málaga;Real Madrid;1;4;La Rosaleda;
29223;Rac. Santander;Almería;1;0;El Sardinero;
29224;Sporting Gijón;Sevilla;2;0;El Requexón;
29225;Almería;Hércules;1;1;Juegos Mediterráneos;
